name,cnt
Ханты-Мансийский автономный округ - Югра,7672
Ямало-Ненецкий автономный округ,4069
Московская область,3678
Удмуртия,2864
Ленинградская область,2598
Москва,1749
Татарстан,1702
Новосибирская область,1701
Свердловская область,1668
Республика Коми,1538
Пермский край,1446
Красноярский край,1362
Тюменская область,1191
Тверская область,1165
Сахалинская область,1117
Нижегородская область,989
Башкортостан,967
Самарская область,945
Челябинская область,943
Краснодарский край,822
Новгородская область,761
Кемеровская область,737
Рязанская область,733
Дагестан,709
Ставропольский край,692
Алтайский край,663
Владимирская область,621
Калининградская область,610
Томская область,600
Астраханская область,565
Смоленская область,565
Амурская область,496
Оренбургская область,496
Омская область,458
Вологодская область,443
Тульская область,438
Волгоградская область,438
Приморский край,433
Хабаровский край,420
Республика Саха (Якутия),401
Санкт-Петербург,386
Ростовская область,370
Псковская область,354
Ярославская область,339
Кировская область,323
Камчатский край,303
Республика Алтай,271
Республика Карелия,269
Марий Эл,262
Мурманская область,260
Республика Хакасия,247
Саратовская область,226
Архангельская область,213
Кабардино-Балкария,210
Калмыкия,205
Карачаево-Черкесия,199
Курганская область,181
Костромская область,180
Северная Осетия - Алания,168
Чувашия,158
Ивановская область,155
Тамбовская область,147
Пензенская область,147
Калужская область,147
Еврейская автономная область,137
Мордовия,122
Магаданская область,110
Воронежская область,104
Тыва,96
Чеченская республика,96
Орловская область,90
Липецкая область,74
Ульяновская область,63
Ненецкий автономный округ,57
Адыгея,56
Иркутская область,32
Республика Крым,25
Курская область,23
Чукотский автономный округ,15
Ингушетия,13
Брянская область,10
Белгородская область,9
Забайкальский край,3
Севастополь,1
